N1	N2	Na	Tsplit	M1	M2	propNtrlM1	propNtrlM2
23.91073	8.61374	4.88079	23.58715 	25.31615	6.06283	117	370
10.05943	29.68157	26.06074	10.50970 	2.71671	7.44723	324	370
14.23173	22.90395	25.66243	14.74486 	14.56898	26.51635	114	286
27.77690	17.84796	18.51381	22.79299 	26.42386	9.40612	370	72
23.28230	20.57117	29.05548	10.53902 	6.99501	3.19823	159	289
17.79368	15.92980	0.83224	16.20733 	20.96901	12.38928	139	310
21.91851	29.46759	2.37915	15.17422 	13.00262	11.39579	269	265
1.97338	4.38368	11.37323	14.70362 	11.32723	24.41984	169	387
25.04258	4.68048	15.39999	8.02120 	10.90406	20.92609	350	431
14.79832	14.35590	20.69595	4.48568 	7.68593	0.88367	459	236
9.24432	28.25322	25.73345	18.83003 	27.54037	8.68389	170	275
24.35950	2.61252	8.50744	13.33985 	26.32417	23.83494	259	201
7.60016	7.81254	26.73612	11.79214 	9.45056	27.82087	92	385
26.97300	15.24742	28.97654	20.93027 	8.80570	12.05448	267	90
14.76433	13.51770	19.55578	15.04576 	12.19000	7.21067	168	81
27.31811	13.26765	20.05255	8.62394 	27.47408	26.17304	326	123
25.39097	18.81274	29.34306	11.12826 	5.39529	17.11273	228	440
12.25113	0.09938	1.29390	24.82535 	4.03721	8.34066	99	506
7.34717	13.04117	16.55015	17.29842 	24.33760	3.81892	18	530
13.34771	16.51702	5.98521	16.81912 	25.55914	7.50110	284	369
25.65781	26.48360	28.82567	29.70754 	21.15632	7.40884	237	414
1.54871	25.49720	23.36541	12.12502 	4.60002	1.28863	279	133
10.98836	12.09022	6.07927	20.36950 	13.61280	17.83743	261	120
15.04463	11.51740	13.11173	8.84959 	23.05137	12.37914	537	256
10.43699	23.82437	5.07377	5.57682 	11.95101	24.29121	154	164
4.15299	13.33981	26.78031	25.96205 	25.90987	20.83601	367	374
10.83577	7.07106	2.74945	9.04125 	6.03916	22.49006	344	484
7.49884	27.94724	9.24620	8.54813 	29.83116	2.00409	20	367
11.42343	2.64763	26.90990	20.91814 	8.80703	23.01514	235	173
23.13096	2.50053	17.17609	7.49530 	29.47766	21.15220	269	371
11.31930	13.04297	8.87961	25.73527 	25.83746	26.56575	217	89
24.75836	27.93096	13.28422	10.19121 	9.31780	18.02779	19	215
13.96601	8.85972	26.08887	7.83187 	18.93192	17.94100	446	531
11.31390	24.09719	8.82500	0.00880 	10.20392	18.21668	326	470
19.14384	6.36526	28.31069	16.47336 	14.79724	10.52495	521	319
5.77756	10.72904	28.98168	0.80137 	17.75608	28.09521	275	498
8.44306	20.58598	7.21996	21.55159 	3.21730	26.44897	454	185
3.09835	28.28256	21.53022	0.35117 	14.43189	2.17721	317	191
4.07436	15.00182	17.08053	28.17408 	17.23707	2.50208	206	210
22.82477	25.02784	15.53596	22.18513 	3.78902	10.89902	325	183
6.10906	25.51593	11.94088	18.08762 	18.43960	1.27656	173	388
26.82154	6.69432	12.35521	25.70536 	16.94097	0.08964	521	158
25.82977	25.02864	15.36885	9.73031 	2.30086	24.68508	15	302
14.47102	29.06038	28.16991	9.62717 	8.03443	5.71996	359	512
5.88688	4.18970	8.65686	11.75663 	21.65353	13.45920	315	458
0.63324	18.08836	17.37293	14.14451 	20.20719	11.64314	444	270
28.19053	1.05066	4.64463	13.32531 	19.63952	0.53222	68	88
4.26701	0.00719	3.49986	0.94764 	16.41096	3.18669	144	228
19.58254	13.91765	26.03199	2.50646 	2.76349	28.79290	472	42
24.11708	23.24895	9.42798	7.43511 	3.13523	3.31115	434	386
3.66667	19.38504	8.40479	6.54983 	6.94495	20.05267	209	69
6.97920	13.76333	14.18427	0.19609 	19.35383	22.44667	79	105
15.12303	5.63241	22.34177	8.47006 	20.77186	19.62270	488	287
23.55143	5.08228	9.10878	3.41987 	10.00370	27.92631	528	237
23.65838	12.45852	23.29415	1.82251 	20.34804	23.86726	229	359
9.17378	28.73151	26.39312	24.03001 	0.75427	22.08255	410	429
0.02255	6.91665	22.92125	19.93477 	12.89351	2.86307	173	474
14.43189	25.00533	10.52053	2.32850 	0.72437	13.08952	103	485
2.67074	6.49076	24.72017	22.09563 	18.16593	4.02138	386	165
22.95869	0.17279	5.37112	23.26845 	0.55142	11.72991	75	384
26.00230	2.56083	14.28846	6.04271 	18.05540	28.63290	161	539
28.58267	24.71583	19.61261	18.23553 	3.78969	21.56054	182	240
21.08033	5.77890	12.24273	8.24672 	11.50493	13.87967	219	132
12.36007	12.24372	1.96109	11.41357 	27.31759	12.59356	189	343
0.54832	6.00413	1.59506	3.79838 	0.00823	24.96673	283	390
3.19743	26.55802	16.73215	1.27039 	8.56621	11.20556	56	100
19.28562	3.14800	13.47992	12.78098 	19.41241	23.99218	308	482
28.85416	9.77680	20.68616	25.46572 	6.89596	9.77625	85	295
24.66547	13.99061	16.61234	7.82213 	7.47429	5.64470	81	190
28.86661	5.65207	17.20446	3.47495 	11.31358	13.45270	174	490
20.62867	26.30074	16.75708	4.94868 	10.36282	1.24901	287	420
18.02549	28.10634	23.53356	29.33938 	26.95690	17.61933	88	319
13.28849	18.28429	20.65493	22.09294 	10.10826	20.35419	369	254
0.81789	6.65409	3.23778	24.96729 	7.86895	27.67512	179	444
13.11860	22.24031	15.44891	2.75800 	23.12541	18.81614	24	411
28.88753	29.31960	15.63438	26.19088 	9.91514	21.48404	23	342
13.26806	26.12458	7.23762	23.90715 	16.59949	16.37687	334	306
23.82947	11.10109	0.94542	2.60202 	10.12244	23.67530	126	477
25.50934	8.91534	13.62344	28.79612 	14.00934	0.59175	41	388
5.08963	7.26235	14.92914	19.95985 	11.84850	19.08199	470	270
27.64444	1.85367	5.65785	22.91634 	12.00148	19.25502	28	524
16.31793	21.20452	8.29641	3.82217 	0.67414	1.34347	269	279
21.59831	25.55706	15.48296	29.56294 	5.25130	21.86663	326	352
21.21524	18.14961	23.25249	9.44298 	6.16287	28.04940	384	428
25.80565	15.12744	13.58865	0.21071 	5.11670	7.49095	137	116
25.69953	5.06404	18.00598	2.65531 	12.06728	18.28814	442	150
1.26489	27.95107	13.08743	27.87909 	3.37816	12.08814	327	127
6.45648	19.94492	23.35767	6.61305 	8.51491	28.93237	492	46
12.58443	21.10116	25.71771	18.13013 	0.97605	16.64530	91	412
28.46603	10.32313	16.68199	4.24180 	14.94247	5.25984	235	162
12.37885	21.01233	28.14255	2.85899 	9.12153	8.62716	79	187
28.81108	27.64864	19.40414	25.78134 	5.38651	7.52391	119	389
21.22981	22.62644	2.16674	29.94567 	20.97885	9.16230	101	261
12.35786	5.33527	16.08147	18.93192 	22.31699	22.73352	145	325
14.09042	13.65618	23.72530	10.59360 	20.87597	5.29635	504	539
15.27895	21.33367	27.62367	15.72926 	18.17324	4.52947	227	177
21.88801	22.33132	1.67976	16.98932 	0.00087	11.77335	417	111
5.12697	8.44004	6.67585	12.32517 	17.06658	5.32773	407	397
11.75867	25.63984	23.89581	21.85595 	0.54025	1.55874	397	157
25.87264	5.81331	0.90780	3.20347 	27.08180	1.00593	223	166
4.14635	25.66635	9.48475	14.70879 	3.39167	23.35756	442	193
7.36498	7.59342	18.94660	19.09038 	8.65385	5.41239	292	11
9.00697	13.71733	1.89042	27.90571 	12.79505	17.32729	94	382
25.20219	21.92823	9.74772	19.70359 	20.75570	26.38779	233	537
21.90068	7.06796	25.44819	22.71897 	22.22783	28.91586	385	155
3.44003	13.93067	28.79009	24.90269 	10.71971	7.74995	374	13
26.21601	4.80100	14.77393	17.72927 	0.62625	26.50953	187	322
19.50668	6.89315	26.93855	1.56823 	17.46755	1.89346	395	91
19.22746	28.44080	2.97877	29.12330 	19.84569	18.77548	130	115
24.81042	9.54688	19.89229	3.79538 	9.86445	28.22629	382	155
29.28395	1.47589	10.19247	10.10019 	27.35497	16.65862	453	417
27.27067	2.11826	26.22706	22.88554 	19.66433	4.01355	384	324
7.03760	29.24352	9.32051	0.73589 	6.55784	19.58818	121	195
3.67442	26.65083	10.47659	13.72782 	6.92098	14.34404	17	173
25.86151	17.49451	14.18655	8.24216 	18.84108	28.80825	431	457
22.61048	8.68966	24.44780	12.40287 	3.29225	20.37488	537	254
29.16437	21.07647	0.55310	26.70817 	17.04810	19.23969	134	75
17.73107	14.41100	20.58742	18.42457 	2.67826	24.74634	494	386
5.80706	15.16831	4.15415	26.08969 	4.58212	4.95250	218	354
20.74508	23.30288	14.69039	13.93875 	6.22415	17.76934	365	354
13.83122	9.83766	9.40332	20.26754 	12.64884	29.90150	260	84
25.33561	27.17495	3.86754	8.81118 	26.86674	14.16105	456	422
9.86485	21.74862	20.65675	11.93351 	5.68348	22.80183	494	497
16.39132	19.66523	0.38351	27.75303 	10.40647	0.77150	115	79
7.40764	14.66840	2.08874	14.18413 	8.50806	25.40872	388	215
24.14463	24.12034	3.30104	8.58612 	6.19329	19.45348	303	479
22.98689	1.79742	25.91186	16.53614 	4.20881	3.88534	281	414
10.99395	3.78570	26.29514	6.71892 	9.11387	5.86436	112	482
28.18819	29.95180	11.41821	21.87598 	28.46564	29.27100	389	64
1.58978	6.69587	25.62351	24.11514 	1.43386	24.34146	128	311
15.39192	12.92031	16.28433	1.73407 	15.88805	4.43298	219	172
11.74111	26.68858	8.87115	11.91317 	10.04424	2.64992	53	440
12.58363	0.14695	12.68912	8.96211 	26.12088	28.22221	383	315
12.87206	29.13426	9.75998	4.42112 	24.56156	5.76301	93	102
20.53106	1.82085	20.35731	22.08024 	21.44595	3.82835	138	51
22.97698	23.66544	16.72762	13.26445 	7.60489	3.86955	498	525
0.21966	25.05019	23.34249	5.38460 	27.74386	28.99094	83	379
25.10120	4.63758	7.45210	4.47577 	14.43663	20.29318	390	144
25.14731	19.27810	26.50677	7.28412 	20.69949	28.09754	307	55
1.34437	27.61688	7.87921	27.22569 	9.43037	22.84252	147	417
0.03005	17.18243	6.99360	0.72944 	0.04283	3.78276	311	484
10.84389	16.41269	8.63662	16.39754 	2.53957	12.80417	325	424
8.89837	11.85176	3.83546	26.32726 	6.52200	8.12922	427	74
17.06957	13.36304	10.55210	8.54488 	23.69572	1.70920	520	334
20.16202	24.38854	2.90203	3.80392 	8.66341	0.14061	64	160
23.06251	26.79182	11.29077	3.84973 	13.62257	18.52998	199	487
22.28236	20.39708	11.75016	21.56090 	29.99290	18.04299	173	210
27.51473	13.35223	29.25003	24.02299 	14.96083	21.53681	315	45
11.67882	14.46492	29.60004	18.11347 	9.08314	6.65945	191	279
24.02624	24.52272	10.88076	16.96860 	11.36037	13.87631	32	522
22.15865	0.82277	15.31321	1.61151 	23.84836	13.99995	138	444
13.32423	2.51185	28.14214	6.01556 	19.79194	6.00041	9	210
21.68839	4.66019	5.70398	17.62181 	14.53047	2.30909	368	539
7.77444	8.53410	17.43701	19.88046 	6.12081	22.45654	355	39
4.17039	3.86816	26.98212	6.33617 	21.56828	19.44275	392	344
12.89119	0.38602	24.45223	27.88021 	8.86311	28.79879	107	219
28.01064	18.39634	24.36555	17.97136 	9.45592	18.84835	459	428
28.25850	16.34984	3.60495	16.32254 	10.51432	26.07544	282	37
8.25016	6.60265	10.41476	24.30621 	12.54748	27.46582	315	292
15.17718	24.60987	16.43408	25.99713 	24.23156	13.53765	20	475
14.21437	2.67839	3.77303	13.20470 	17.88569	20.69563	129	43
7.34963	1.60213	10.31380	24.40791 	28.37922	29.88191	512	141
1.69403	7.88022	10.13988	8.63116 	27.57788	23.34119	516	343
19.71006	10.03660	4.25290	18.26089 	16.69908	7.11251	392	209
16.58447	11.71231	26.57479	15.41627 	10.99833	2.90167	158	295
14.14435	14.55531	6.23764	6.20844 	29.57690	29.73182	512	97
27.85797	19.15360	16.87750	21.66156 	27.09969	8.06463	458	414
22.63287	4.55898	16.28118	18.44110 	27.94222	1.55384	337	251
11.43293	18.24876	20.02112	27.19193 	26.64369	15.24615	255	93
20.88008	12.34542	11.81402	15.54728 	15.50976	8.29392	414	232
2.04168	19.71964	1.67945	6.97189 	25.83779	21.65811	333	301
28.36498	13.53312	25.37755	12.49783 	18.51084	1.30126	480	285
14.86947	21.69375	13.77519	5.48262 	16.73335	15.66785	22	96
10.99945	29.67788	13.94344	20.48783 	2.73614	2.93517	515	205
0.11622	26.43933	20.15858	17.89860 	17.66929	28.29251	179	414
14.50320	29.08740	18.22272	29.54006 	15.69081	19.60089	342	467
4.83051	21.24525	18.55381	18.97158 	11.76516	5.99325	366	15
0.67844	20.66822	23.57800	6.79866 	14.33897	17.87737	336	77
26.88875	3.02704	25.97979	22.56297 	12.60679	16.85864	13	51
4.30822	1.08293	6.82443	21.01946 	18.37536	7.00840	360	97
18.64959	27.20410	15.89190	21.02706 	16.85420	23.00846	187	17
29.01581	0.23064	13.71063	21.58694 	2.03315	22.21304	301	479
4.62133	22.53140	18.69683	22.70523 	2.78779	21.05653	485	198
0.00646	9.27332	9.96093	6.14028 	16.20499	25.28755	338	319
21.67553	14.89847	24.62658	28.27814 	13.02311	22.42358	312	385
22.48586	15.67964	20.74692	2.30946 	14.38403	28.66843	34	39
3.73754	22.27997	27.84546	10.89377 	29.78598	21.22156	420	274
4.59025	5.02456	17.11492	18.31566 	9.54534	19.11785	298	418
9.50322	26.63213	7.26555	12.22687 	24.06545	9.72828	28	409
24.70895	18.08731	5.52440	0.48332 	22.82410	28.71661	64	454
20.07432	4.38844	27.07848	0.19092 	26.64784	18.04840	278	505
18.44398	18.19944	7.62174	19.67331 	13.52374	7.24650	112	116
11.49931	24.45681	17.18100	0.83589 	13.45350	17.05291	124	503
15.76191	12.03681	20.11891	20.46139 	29.20740	10.18558	501	67
10.57853	21.68838	29.09548	8.93326 	7.04183	27.63451	442	221
13.72814	25.36722	13.91390	0.96644 	21.54019	9.64215	482	244
21.04927	11.22796	25.10216	13.74252 	18.22210	16.34689	523	416
15.70333	27.90437	7.55678	2.96095 	25.06272	4.12078	381	429
9.15934	11.37060	22.98363	11.27173 	8.48572	26.29472	491	363
28.34904	11.14301	26.61201	8.76301 	6.26557	20.85034	13	263
6.48463	5.78542	29.71009	6.03547 	2.39351	13.46558	184	240
9.78358	9.00497	7.58869	1.62345 	22.83521	11.64748	0	67
28.09926	8.14291	3.93847	23.44532 	9.39558	14.29526	56	340
15.63296	3.29834	12.02359	10.51637 	17.25550	5.44077	212	321
9.36287	8.11655	13.13053	15.88229 	2.17704	15.13821	373	431
3.22305	17.58080	29.79990	29.94806 	0.03046	5.30194	448	463
4.11319	4.34814	24.52636	14.12021 	14.70199	22.58953	173	137
27.35330	5.35695	20.39956	19.75694 	3.02026	9.97630	509	530
28.50127	17.87331	7.16578	21.11441 	25.26150	14.98733	305	195
8.10137	3.09121	29.30533	23.00343 	14.34462	24.60882	25	149
26.42634	2.28703	24.67815	14.03244 	0.25267	1.36133	354	453
6.85090	24.85731	5.94061	14.98133 	19.71767	12.86090	210	58
1.96694	19.62724	12.35754	14.52102 	2.66904	0.24649	73	469
2.60442	7.95021	26.15582	7.38252 	9.28492	1.69917	26	492
19.93372	20.56801	28.65395	12.60632 	28.11302	19.94988	181	341
24.17995	14.54099	2.57904	15.76141 	10.87107	19.19843	94	289
9.48926	20.26047	14.21763	4.69162 	17.58567	10.75479	402	215
15.02444	22.91902	25.70222	7.55503 	24.02100	28.00923	84	183
2.31770	11.12778	15.26325	27.81586 	8.58646	14.39757	230	497
16.57742	20.37027	28.56471	19.16649 	17.93123	4.55369	282	408
18.01112	10.38578	13.37299	23.34757 	6.91627	9.35075	132	4
26.14806	28.78841	28.70508	18.47768 	29.02000	21.80837	443	485
20.35824	16.95553	24.80741	26.23513 	13.78423	13.07912	141	343
8.63579	26.30844	5.87567	1.02660 	26.85376	20.19985	453	365
29.49187	17.11753	8.79093	20.45440 	14.58473	5.26455	389	158
20.50419	5.10731	13.18777	10.91788 	26.47043	3.28562	111	475
19.88154	25.26617	28.09188	17.21203 	11.44343	18.42002	205	32
17.47324	16.67147	7.95521	4.59886 	21.94308	22.16471	308	367
4.52967	3.71987	29.49064	1.88634 	27.68284	16.88822	147	36
2.46763	10.36904	11.55538	11.43691 	29.32807	16.61339	189	133
11.19820	11.76575	22.35643	21.69936 	9.99822	15.21323	302	64
24.83128	26.93371	22.40458	10.64090 	21.56828	3.07782	480	287
21.78429	14.51884	12.70644	3.83816 	27.36811	23.91925	215	230
22.75947	20.22755	2.65850	14.95525 	17.95746	27.23531	450	119
24.95076	21.46102	12.96018	6.88576 	3.01912	27.27420	45	433
4.51605	27.04311	18.80206	25.96749 	21.19117	12.58017	47	86
20.16607	7.48214	11.41154	23.99993 	20.46552	0.39139	427	28
23.84133	3.67036	7.37700	10.28195 	13.15113	13.39154	279	166
28.66210	2.67914	11.28853	8.80857 	17.68790	27.77382	492	465
29.50579	10.28343	3.62424	29.18634 	22.76794	13.21303	278	321
13.61969	22.74264	29.18354	5.44763 	12.22424	9.49745	14	339
29.69513	29.68515	16.00263	18.40423 	0.99972	11.07123	326	196
12.12440	5.15881	7.12948	1.61162 	23.28937	23.49222	349	119
6.00931	16.61277	10.96956	4.60988 	27.89784	29.43066	93	368
17.88783	24.51110	4.26296	2.84415 	21.02406	19.02936	17	308
25.80448	14.71175	26.12557	7.05916 	7.23792	12.10951	4	314
18.32654	24.20715	12.91365	15.40075 	25.96485	13.87319	506	401
11.63169	23.28140	1.94178	16.68064 	4.33713	29.96774	180	182
2.76950	0.68268	26.61779	15.85838 	0.76073	24.90312	72	307
26.38871	1.58493	5.47971	14.16684 	27.96255	16.79060	486	511
26.56627	13.52146	24.15598	23.42767 	16.79609	20.76740	178	173
12.26271	15.09688	10.16796	20.68321 	23.32218	0.21570	388	325
6.52131	14.27758	17.25724	20.72885 	16.06009	16.60025	159	34
20.74264	7.10660	23.08479	15.57342 	12.84380	25.22978	261	226
12.67358	21.85327	5.79222	11.84696 	10.18089	10.75859	491	249
7.17303	10.09657	28.88166	28.72930 	17.15577	22.82674	52	293
0.59861	11.24038	2.31539	28.91390 	8.77369	1.63715	304	103
28.95166	6.81163	22.03802	10.06760 	3.19133	27.36844	194	76
23.53549	24.29645	9.16156	0.13592 	8.68411	13.15446	1	311
13.62783	2.07268	20.84885	10.92735 	9.08999	17.00811	375	327
13.14499	10.24609	12.28346	3.71570 	10.40062	23.22638	389	269
14.26956	28.02521	1.62058	11.29782 	21.78610	0.18718	135	235
25.66849	15.81108	3.65731	28.01242 	22.62404	15.30309	322	3
21.90280	11.09362	2.83301	10.66731 	15.54301	5.06863	333	489
28.77100	15.41638	19.44189	28.36314 	10.73987	21.72487	126	288
8.22906	9.28772	7.25721	1.24073 	4.78119	20.41856	132	281
16.94241	14.43390	6.97253	17.42329 	13.90903	21.28435	174	448
12.75190	8.41555	2.20952	16.33632 	25.87760	23.78744	0	176
14.16336	20.31343	1.01007	26.80834 	24.45210	20.23467	403	510
8.74724	28.60456	18.88537	28.59459 	1.28734	20.73537	323	377
8.93208	3.46687	15.24749	6.51853 	22.81679	14.62708	97	485
21.62595	8.16918	26.56496	3.54155 	7.19497	18.78537	11	539
7.07735	17.73553	13.13312	6.25266 	28.07739	3.93104	363	398
1.74010	3.14425	28.62755	4.50233 	9.34015	14.31104	493	202
20.15465	10.68048	12.52549	29.97714 	20.99477	16.96446	85	134
28.17254	0.61611	17.07314	26.82467 	12.62066	25.83723	202	444
21.53498	19.64510	5.26102	18.58850 	12.10635	25.74517	400	272
3.10572	11.47217	22.48143	17.73736 	20.73226	14.00145	450	460
9.69323	8.64774	22.17460	27.69431 	25.25716	14.40065	330	180
11.15083	28.91195	27.25371	7.69553 	24.10895	8.09640	430	17
24.44048	18.26602	6.32815	0.32552 	21.34758	0.71677	183	194
20.36610	20.33315	14.79978	19.84973 	22.96414	13.32533	479	290
2.97840	26.19544	5.31275	26.38710 	14.68445	19.45024	296	375
2.70864	5.03647	21.81618	0.70886 	6.17040	6.97723	19	254
14.56981	10.38825	0.15029	5.30096 	16.89373	18.31658	118	420
15.94345	8.55778	4.00188	2.68129 	4.13230	27.39889	138	518
15.83706	17.22506	19.58620	16.20448 	22.04067	20.90584	10	94
29.01191	28.63645	28.91012	24.32704 	11.45773	22.91855	405	103
13.75922	4.57222	26.85582	20.75031 	12.65738	2.61926	282	238
5.36342	1.21853	2.13286	24.48754 	1.43049	0.64285	75	225
6.46341	13.54373	15.63488	8.90824 	19.66472	13.26924	193	1
28.80207	9.20130	5.77723	10.56698 	17.52925	29.71853	504	30
21.72753	18.86972	11.04370	3.26387 	10.15623	29.11132	145	9
12.25273	15.40753	29.51799	13.02107 	19.00427	4.01650	47	309
6.18423	17.90102	11.31930	23.11588 	8.57891	1.62041	257	342
1.14372	3.16993	28.71266	10.65086 	24.52888	23.83024	316	478
12.81655	29.48165	21.88442	4.28036 	24.71848	22.85046	363	28
18.56361	20.49784	5.18029	22.87912 	9.05896	8.45861	491	95
8.83866	4.31574	17.14549	0.32249 	26.92040	10.60498	353	482
24.34480	3.11787	28.57272	26.21288 	0.11101	19.22091	148	26
24.86139	6.76584	29.07488	27.31394 	26.86063	8.56298	435	347
6.20656	19.84215	22.04688	10.89782 	0.91525	25.16754	189	19
18.65136	5.31953	20.04449	19.76537 	24.62627	6.53415	76	281
26.30538	29.31049	6.32659	22.01928 	0.38398	25.76050	255	217
7.65780	11.59208	17.46524	4.77099 	4.64561	16.42261	445	276
14.74801	5.98703	17.36277	14.89155 	0.11128	1.84371	258	160
25.85972	14.40246	15.63429	12.06954 	15.41656	10.56914	217	519
2.65858	8.82750	22.06616	26.58210 	15.50127	29.22745	449	452
23.64544	15.84335	18.05011	23.39011 	25.88187	2.17795	200	148
6.20455	1.86347	6.35800	19.26071 	13.64649	0.67857	51	483
2.26520	19.50941	10.86705	25.79607 	21.33742	16.81172	82	256
16.90005	3.82643	28.64680	5.76404 	25.75905	11.71171	292	55
22.45918	8.90854	29.96801	5.16868 	28.79109	29.58701	423	358
18.77096	18.11476	27.75372	24.16968 	20.63510	1.65982	443	274
6.36375	28.08354	15.10441	15.11683 	18.39278	20.03375	539	112
19.81696	29.30620	25.60008	4.10256 	9.27807	5.79290	485	197
1.96170	1.19939	4.41756	20.07585 	15.52888	6.92180	527	403
17.15828	19.84715	26.79574	23.27129 	11.44245	25.40627	80	14
21.47586	5.70627	1.32654	6.78250 	0.18566	25.70249	438	406
16.98796	13.13412	12.29856	26.93533 	2.82118	23.19275	424	33
10.46875	20.34930	22.00744	11.71728 	4.33911	24.69084	289	452
5.70793	23.40231	26.51240	5.32597 	9.41080	11.32676	227	487
18.77191	10.28511	21.46095	14.03550 	13.01847	5.56273	123	499
26.93049	11.04151	24.31386	2.32606 	20.11779	22.21813	316	408
21.72516	24.24642	6.70641	9.76419 	21.44046	13.80856	184	102
23.88194	28.92396	2.63575	26.79163 	22.99274	10.88189	222	415
21.24696	28.23106	3.73265	19.02653 	26.52206	0.87909	200	183
28.43985	4.58633	7.50704	0.85161 	21.52266	15.42867	174	65
8.53547	0.25602	9.13316	20.97136 	28.41707	25.06336	391	531
13.97188	6.74680	14.64065	20.18447 	28.77980	12.77285	186	360
27.99323	29.01658	18.55175	17.67561 	18.42031	0.51404	360	350
15.60245	9.88939	8.87998	21.40638 	11.03026	2.73977	56	79
17.07530	7.68287	23.51489	25.77453 	14.05900	4.54295	207	521
27.66801	9.30317	19.87550	14.44820 	2.47760	19.03999	317	520
9.16592	0.36842	1.81527	5.10993 	5.22085	18.88419	58	177
24.54238	5.83340	8.63307	14.70739 	3.68089	28.55803	247	352
11.29870	6.64570	5.82800	16.60224 	18.13492	27.50104	430	387
11.43207	24.01033	9.89329	8.01835 	7.05866	16.56424	2	173
9.70098	26.99138	16.70489	13.67690 	26.33448	16.15487	95	0
28.68720	7.09611	9.89406	14.79656 	11.58231	21.38557	357	411
28.97069	2.58795	16.91426	5.78027 	10.84938	11.23249	177	58
14.19398	8.76360	14.04108	22.45979 	6.98450	14.47520	353	73
25.13934	7.90598	1.63983	23.77425 	18.37880	11.22905	455	454
21.67363	21.94298	4.90849	28.65577 	26.42883	5.87121	235	381
21.56994	21.14288	4.52913	20.58733 	19.82288	28.22367	228	415
22.39316	20.93093	7.49479	21.51180 	12.07524	4.26137	183	359
20.37579	4.33733	11.18622	14.09956 	4.57727	25.82867	508	314
10.76428	14.21944	12.11612	19.74452 	3.05033	16.68619	425	18
9.73247	21.72979	25.03638	6.84479 	8.48963	18.95756	221	224
27.90002	9.47014	11.69663	18.12418 	25.54296	6.69204	298	486
22.67291	15.45569	18.21678	18.84172 	24.44109	12.02222	230	505
21.49778	6.18665	18.37300	2.96102 	7.50126	21.82865	518	152
19.54065	11.97701	14.36088	7.61139 	18.47888	19.06452	350	441
23.71057	26.20149	27.50975	23.38995 	21.41563	18.50481	370	431
8.68364	4.20818	29.36278	19.22240 	14.97112	21.77146	399	329
23.44726	27.54731	25.40107	15.14351 	2.01148	8.27551	323	95
21.65848	0.38863	24.99254	17.96076 	25.90278	29.90325	517	290
11.49196	4.56889	4.77075	1.13612 	15.49301	19.92591	398	432
25.31530	28.53099	6.77501	27.02040 	18.55069	5.59690	239	42
20.95652	24.12330	8.65851	28.29731 	0.59248	22.00132	250	299
19.74463	9.73025	9.22197	6.15590 	17.49037	11.70476	537	104
10.96497	21.97792	28.37096	17.40380 	7.16602	21.35448	501	438
11.91280	4.27118	26.45936	13.81178 	27.59630	8.93787	521	131
21.66060	23.87394	26.22020	15.33306 	11.04453	8.11201	51	369
19.99368	26.49698	12.64841	19.09090 	4.19806	17.47868	447	279
4.89090	9.58580	9.14093	8.80305 	4.40305	12.18454	535	279
25.27735	5.29687	14.07080	11.61367 	5.35921	2.80416	156	122
18.61871	4.79214	12.65465	29.46950 	28.00866	26.31764	509	248
1.78199	7.37082	23.19404	7.06827 	18.25967	9.67873	446	526
4.67189	8.30330	3.77195	6.18835 	2.11975	19.23999	94	112
12.65998	24.30135	17.59906	29.22649 	14.80685	16.66857	261	248
19.07113	12.78069	0.25800	13.86310 	27.40179	2.11733	116	289
25.16192	9.45071	21.21645	26.48531 	11.51745	0.35808	430	91
2.49940	19.56481	27.59135	12.61720 	24.33564	6.00310	337	238
18.63443	22.74627	23.87907	26.18339 	14.44543	27.98367	40	316
26.85891	4.20893	1.96477	21.16245 	1.37347	5.94240	254	469
16.02206	19.67175	29.46884	5.97748 	2.03061	11.34900	140	368
27.93038	13.76028	14.06245	8.88917 	4.95467	29.81785	240	191
10.44982	6.42829	2.48249	10.02006 	22.70038	11.23594	34	530
6.52750	26.58008	12.75242	6.64094 	4.79302	16.87914	68	390
13.73488	1.64159	8.19042	12.86327 	22.67282	10.18597	378	449
3.12079	24.59962	26.48838	5.58637 	19.37706	18.36647	436	10
12.63642	25.98258	7.22724	28.46778 	19.36502	28.41165	444	528
10.75651	27.43805	5.67622	6.84385 	13.76186	4.54465	409	233
1.88274	18.06962	7.82901	16.23768 	0.08674	0.15954	335	305
25.15399	23.12142	25.93621	14.44276 	2.43962	21.94046	128	530
11.26530	24.55842	15.11022	17.40456 	18.74888	1.64646	461	104
16.67819	17.97856	24.10611	26.70169 	26.63106	22.24583	112	534
29.47876	13.26398	3.59768	0.22498 	27.49783	15.85112	458	336
16.01807	9.00141	4.17984	28.82759 	27.70040	15.13415	253	395
21.54896	9.77325	2.84593	23.56782 	16.85724	24.19784	165	160
18.84878	15.37407	0.72683	16.55435 	19.16600	26.76420	126	112
22.52633	2.53566	6.18470	23.63117 	3.25513	18.75572	31	412
28.20530	25.42333	7.73368	0.98521 	26.27962	28.22856	244	190
1.43445	1.76875	14.94646	16.84017 	4.41735	13.06462	343	130
8.79017	17.56027	4.90799	27.78085 	18.98508	2.57140	383	108
2.76195	2.32961	23.67008	26.59333 	26.57040	16.55394	304	374
11.51209	25.64564	25.35863	26.30854 	17.93566	18.05546	285	17
